DateTime,Temperature,Humidity,Wind Speed,Zone 1 Power Consumption,Zone 2  Power Consumption,Zone 3  Power Consumption
4/18/2017 16:20,22.760,29.73,0.085,32985.14532,19396.7,17623.3
12/27/2017 17:10,15.920,54.44,0.085,34737.64259,29803,14417.3
1/2/2017 11:20,15.080,57.23,0.076,27894.68354,20808.5,16458.8
3/19/2017 20:20,12.420,72.30,0.081,42476.93617,23634.1,25089.7
4/24/2017 5:50,14.580,80.60,0.080,21341.14101,12006.1,11531.6
1/9/2017 2:10,14.990,69.14,0.074,22043.54430,13200,14810.6
2/4/2017 11:00,11.160,70.80,0.080,32509.83051,18302.7,15844.3
5/30/2017 5:30,19.210,89.40,4.923,21390.68852,13222.3,10593
12/10/2017 17:50,14.660,65.92,0.075,37286.69202,30716.2,15834.8
5/8/2017 4:20,14.200,81.60,0.079,24966.29508,15169,14913
9/11/2017 10:40,23.900,64.15,0.264,35012.38938,24290.6,12067.2
1/16/2017 5:10,13.680,82.40,0.074,22031.39241,13367.8,14359.5
6/5/2017 23:30,21.030,86.50,0.068,40993.90728,25383.4,24960
12/23/2017 14:30,16.380,69.26,0.074,31081.36882,25539.1,10130.1
8/23/2017 17:50,27.060,47.58,4.905,37475.16093,24276.2,25140.6
2/4/2017 12:10,11.860,60.80,0.088,34004.74576,18893.6,16938.5
3/16/2017 23:40,11.830,80.60,0.080,31434.89362,18815.9,19358.7
12/17/2017 6:40,9.380,84.90,0.082,20806.08365,16193.9,8608.88
2/1/2017 9:00,9.390,67.74,4.920,25724.74576,16599.4,12434.7
6/22/2017 2:40,19.200,65.81,4.924,40676.02649,24754.7,25095.9
11/25/2017 16:20,19.740,47.91,0.078,29593.84615,24605,10039.5
8/23/2017 13:50,27.110,43.35,4.906,40256.07103,27416.3,25453.5
3/3/2017 20:30,16.660,67.21,4.919,43334.80851,25452.4,25368.4
2/11/2017 5:20,12.110,76.60,4.916,22710.50847,13437.1,14090.3
7/7/2017 8:10,23.960,63.40,4.922,28532.09302,19507.6,17442.7
7/12/2017 9:50,26.920,70.20,4.909,36511.89369,25906.3,25654.9
11/1/2017 1:40,16.980,56.04,0.086,23753.84615,18628.5,10704.6
7/4/2017 9:20,25.370,77.80,4.918,29393.22259,24421.5,20226.3
1/29/2017 20:50,16.320,53.54,4.921,40137.72152,23463.8,24659.3
8/29/2017 7:40,24.600,91.30,4.918,27061.13208,16540.2,12669.6
12/2/2017 20:20,15.900,62.58,0.084,36605.32319,29736.7,16595.4
